rouge1,rouge2,rougeL,rougeLsum,bleu,generated_summary_word_count,reference_summary_word_count
0.09375000000000001,0.0,0.0625,0.09375000000000001,0.004453323527690996,49,9
0.03278688524590165,0.0,0.03278688524590165,0.03278688524590165,0.0038253628844009133,48,9
0.04878048780487805,0.0,0.04878048780487805,0.04878048780487805,0.004361453072458876,50,27
0.07894736842105264,0.0,0.07894736842105264,0.07894736842105264,0.00395365330335517,55,17
0.11627906976744187,0.0,0.06976744186046512,0.11627906976744187,0.00479130933496022,54,28
0.10526315789473684,0.0,0.07894736842105263,0.10526315789473684,0.00479130933496022,54,19
0.0,0.0,0.0,0.0,0.0,37,10
0.0923076923076923,0.0,0.061538461538461535,0.061538461538461535,0.004361453072458876,50,9
0.0625,0.0,0.0625,0.0625,0.004863083928997274,45,14
0.136986301369863,0.0,0.136986301369863,0.136986301369863,0.004753731294736233,46,20
0.17500000000000004,0.05128205128205128,0.17500000000000004,0.125,0.011381305436860422,45,29
0.14117647058823532,0.0,0.07058823529411766,0.09411764705882353,0.005528849622582646,47,32
0.13333333333333333,0.0,0.10666666666666666,0.10666666666666666,0.005034460682273033,48,23
0.0273972602739726,0.0,0.0273972602739726,0.0273972602739726,0.003593400513595791,51,19
0.0,0.0,0.0,0.0,0.0,48,8
0.03448275862068966,0.0,0.03448275862068966,0.03448275862068966,0.004089349842971759,45,7
0.06451612903225806,0.0,0.03225806451612903,0.03225806451612903,0.0038253628844009133,48,10
0.08333333333333333,0.0,0.05555555555555556,0.05555555555555556,0.004826741258911654,50,19
0.049999999999999996,0.025641025641025637,0.049999999999999996,0.049999999999999996,0.007599116882217506,51,23
0.11940298507462686,0.0,0.11940298507462686,0.11940298507462686,0.005097615802300061,43,14
0.056338028169014086,0.0,0.028169014084507043,0.028169014084507043,0.0039094870602888725,47,18
0.04597701149425287,0.0,0.022988505747126436,0.022988505747126436,0.0045491487595968995,48,34
0.049999999999999996,0.02564102564102564,0.049999999999999996,0.049999999999999996,0.00775588219660462,50,24
0.10810810810810811,0.0,0.0810810810810811,0.0810810810810811,0.005034460682273033,48,21
0.19999999999999998,0.05882352941176471,0.17142857142857143,0.17142857142857143,0.015514392335273455,32,32
0.05194805194805195,0.0,0.05194805194805195,0.05194805194805195,0.003997395604823099,46,24
0.1846153846153846,0.031746031746031744,0.12307692307692307,0.15384615384615383,0.005959978627465526,37,18
0.2268041237113402,0.06315789473684211,0.14432989690721648,0.14432989690721648,0.012526942807759714,52,37
0.05479452054794521,0.0,0.05479452054794521,0.05479452054794521,0.003997395604823099,46,21
0.08823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.004649189828106597,47,15
0.03389830508474577,0.0,0.03389830508474577,0.03389830508474577,0.003997395604823099,46,7
0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0056414392419841305,43,22
0.25925925925925924,0.05660377358490566,0.18518518518518517,0.18518518518518517,0.010375242363014507,47,54
0.11235955056179775,0.04597701149425288,0.11235955056179775,0.11235955056179775,0.012362883593468847,47,36
0.10810810810810811,0.0,0.08108108108108107,0.08108108108108107,0.005528849622582646,47,22
0.0,0.0,0.0,0.0,0.0,47,7
0.21176470588235294,0.048192771084337345,0.16470588235294117,0.18823529411764706,0.011125382292406935,46,31
0.029850746268656716,0.0,0.029850746268656716,0.029850746268656716,0.0,47,13
0.057971014492753624,0.0,0.057971014492753624,0.057971014492753624,0.0038253628844009133,48,15
0.061538461538461535,0.0,0.030769230769230767,0.030769230769230767,0.0038253628844009133,48,10
0.0,0.0,0.0,0.0,0.0,45,19
0.05714285714285714,0.0,0.05714285714285714,0.05714285714285714,0.004863083928997274,45,19
0.0,0.0,0.0,0.0,0.0,43,11
0.07407407407407407,0.0,0.07407407407407407,0.07407407407407407,0.006244385951234721,30,16
0.0784313725490196,0.0,0.0784313725490196,0.0784313725490196,0.0,33,15
0.0625,0.0,0.03125,0.0625,0.00366753025392797,50,11
0.0923076923076923,0.0,0.061538461538461535,0.061538461538461535,0.005097615802300061,43,16
0.050632911392405056,0.0,0.050632911392405056,0.050632911392405056,0.004361453072458876,50,23
0.19999999999999998,0.022727272727272728,0.13333333333333333,0.13333333333333333,0.011562497201211533,46,37
0.0606060606060606,0.0,0.0606060606060606,0.0606060606060606,0.004649189828106597,47,15
0.061538461538461535,0.0,0.061538461538461535,0.061538461538461535,0.004863083928997274,45,15
0.06349206349206349,0.032786885245901634,0.06349206349206349,0.06349206349206349,0.008647922020227043,45,11
0.11764705882352942,0.0,0.07058823529411766,0.07058823529411766,0.005409880072118434,48,31
0.05063291139240506,0.0,0.02531645569620253,0.02531645569620253,0.004273297457822545,51,26
0.08571428571428572,0.0,0.08571428571428572,0.08571428571428572,0.005034460682273033,48,17
0.15625,0.0,0.09375,0.09375,0.005034460682273033,48,11
0.10256410256410257,0.026315789473684213,0.07692307692307691,0.07692307692307691,0.009355294088012148,46,27
0.12244897959183672,0.020833333333333332,0.1020408163265306,0.12244897959183672,0.005977500645731284,46,44
0.0967741935483871,0.0,0.06451612903225806,0.06451612903225806,0.006510755202591488,34,23
0.0,0.0,0.0,0.0,0.0,45,13
0.1346153846153846,0.019607843137254898,0.1346153846153846,0.11538461538461538,0.009083071358608565,56,44
0.0625,0.0,0.0625,0.03125,0.004361453072458876,50,10
0.08333333333333333,0.0,0.05555555555555556,0.05555555555555556,0.004188635776841715,52,13
0.09999999999999999,0.0,0.06666666666666667,0.09999999999999999,0.006081389695809871,40,16
0.14583333333333334,0.02127659574468085,0.125,0.125,0.0058609033660640365,49,38
0.06451612903225806,0.0,0.06451612903225806,0.06451612903225806,0.004753731294736233,46,11
0.0909090909090909,0.0,0.0606060606060606,0.0909090909090909,0.004753731294736233,46,14
0.0,0.0,0.0,0.0,0.0,50,4
0.12048192771084337,0.024691358024691357,0.0963855421686747,0.12048192771084337,0.01062966632179831,46,31
0.175,0.02564102564102564,0.1,0.12500000000000003,0.009616468079553367,55,22
0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,45,5
0.08695652173913043,0.0,0.08695652173913043,0.05797101449275361,0.004273297457822545,51,13
0.05405405405405406,0.0,0.05405405405405406,0.05405405405405406,0.004649189828106597,47,21
0.08450704225352111,0.0,0.08450704225352111,0.08450704225352111,0.004753731294736233,46,17
0.07317073170731708,0.0,0.07317073170731708,0.07317073170731708,0.004089349842971759,45,31
0.028985507246376812,0.0,0.028985507246376812,0.028985507246376812,0.003593400513595791,51,15
0.12698412698412698,0.032786885245901634,0.09523809523809523,0.09523809523809523,0.005381887058206485,45,12
0.08450704225352111,0.02898550724637681,0.08450704225352111,0.08450704225352111,0.009149557561466086,47,19
0.12121212121212123,0.03125,0.09090909090909091,0.09090909090909091,0.009831839445040182,47,14
0.0,0.0,0.0,0.0,0.0,45,9
0.06060606060606061,0.0,0.06060606060606061,0.06060606060606061,0.004977587797754485,44,15
0.09230769230769231,0.0,0.09230769230769231,0.09230769230769231,0.005145174324020217,47,14
0.13157894736842105,0.05405405405405404,0.07894736842105263,0.13157894736842105,0.01293165965304266,45,26
0.03125,0.0,0.03125,0.03125,0.0,34,23
0.0625,0.0,0.03125,0.0625,0.0045491487595968995,48,11
0.10810810810810811,0.027777777777777776,0.05405405405405406,0.05405405405405406,0.005034460682273033,48,19
0.05405405405405406,0.0,0.02702702702702703,0.02702702702702703,0.0045491487595968995,48,20
0.14285714285714285,0.029411764705882353,0.0857142857142857,0.11428571428571428,0.005508606419495829,44,20
0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.004089349842971759,45,22
0.0,0.0,0.0,0.0,0.0,46,15
0.12631578947368421,0.021505376344086023,0.12631578947368421,0.12631578947368421,0.01064658810471376,48,42
0.0547945205479452,0.0,0.0547945205479452,0.0273972602739726,0.0037447837904003834,49,18
0.06349206349206349,0.0,0.06349206349206349,0.06349206349206349,0.004361453072458876,50,9
0.0784313725490196,0.0,0.0784313725490196,0.0784313725490196,0.0,33,12
0.14545454545454545,0.0,0.07272727272727272,0.07272727272727272,0.0065958005888164355,37,11
0.0810810810810811,0.0,0.0810810810810811,0.0810810810810811,0.0045491487595968995,48,20
0.10714285714285712,0.0,0.10714285714285712,0.10714285714285712,0.0063161840849674045,35,15
0.20512820512820515,0.052631578947368425,0.1794871794871795,0.1282051282051282,0.0137502039388798,46,25
0.03703703703703704,0.0,0.03703703703703704,0.03703703703703704,0.0,34,13
0.05797101449275363,0.0,0.028985507246376815,0.05797101449275363,0.004649189828106597,47,17
